firmware_version,cflag,ctype,nch,SATA_bool,nsampPerRawFile,nsampPerSect,nBits (bits per sample),nsectPerRawFile,nBytesPerSect,compressionFactor,tailblk,Release Date and comments
6A01260219,1,1,1,2,15000000,250,16,60000,500,2,0,2/19/2026
4A01251106,1,1,1,2,15000000,250,16,60000,500,2,0,11/06/2025  new CPU without FIFO prototype
3A05250108,0,-1,4,2,12400000,248,16,50000,496,0,4,4x100kHz w/ IMU + realtime UDP ( FW contains typo, should have been 3B05250108 )
3B03230129,0,-1,4,2,12400000,248,16,50000,496,0,4,1/29/2023 ** current 4CH w/ IMU + 3x HRMSD 
3B02220318,0,-1,4,2,12400000,248,16,50000,496,0,4,3/18/2022  2nd 4ch SD
3B02220224,0,-1,4,2,12400000,248,16,50000,496,0,4,2/24/2022 x
3B02220110,0,-1,4,2,12400000,248,16,50000,496,0,4,1/10/2022  1st 4ch SD
3B01211021,0,-1,4,2,12400000,248,16,50000,496,0,4,10/21/2021 - IMU prototype
3A01251028,1,1,1,2,15000000,250,16,60000,500,2,0,10/28/2025
3A01240501,1,1,1,2,15000000,250,16,60000,500,2,0,5/1/2024  ** current BWA fix
3A01220318,1,1,1,2,15000000,250,16,60000,500,2,0,3/21/2022
3A01220225,1,1,1,2,15000000,250,16,60000,500,2,0,2/25/2022 x
3A01210729,1,1,1,2,15000000,250,16,60000,500,2,0,7/30/2021  CPU low temp fix
3A01210618,1,1,1,2,15000000,250,16,60000,500,2,0,6/18/2021  1st 1ch SD:  SOCAL_W_01_WW only deployment
V2.98,0,-1,4,1,12400000,248,16,50000,496,0,4,1/5/2020  win10 FTP fix **current
V2.97,0,-1,4,1,12400000,248,16,50000,496,0,4,7/13/2017 x
V2.96,0,-1,4,1,12400000,248,16,50000,496,0,4,10/24/2016 x
V2.95,0,-1,4,1,12400000,248,16,50000,496,0,4,4/20/2016 x
V2.94,0,-1,4,1,14384000,248,16,58000,496,0,4,3/3/2015 x
